persona,tiempo_segundos
1,6.14
2,18.76
3,16.43
4,22.55
5,10.33
6,10.79
7,11.58
8,9.84
9,14.92
10,7.26
11,17.30
12,15.10
13,12.04
14,10.66
15,20.44
16,8.73
17,11.97
18,19.21
19,10.58
20,12.89
21,14.26
22,9.34
23,13.78
24,11.22
25,21.35
26,15.47
27,8.94
28,13.61
29,12.38
30,10.71
31,18.07
32,9.98
33,14.45
34,7.83
35,15.86
36,19.02
37,12.64
38,11.35
39,13.93
40,8.41
41,10.88
42,16.77
43,9.53
